Identifiant;Addresse MAC;Formatted MAC;Addresse IP;No Série;Len;;
SWM013;00CAE5074880;00:CA:E5:07:48:80;;FOC2008X0GE;11;;
SWM014;00562b487f80;00:56:2B:48:7F:80;;FOC2023U0FP;11;;
SWM015;74860B1D9C80;74:86:0B:1D:9C:80;;FCW2131C17C;11;;
SWM016;88908D52DD00;88:90:8D:52:DD:00;;FCW1912D0F9;11;;
SWM017;C80084719480;C8:00:84:71:94:80;;FCW1908C0DQ;11;;
SWM018;88908d530e80;88:90:8D:53:0E:80;;FOC1912U0M8;11;;
SWM019;00562B4ECA00;00:56:2B:4E:CA:00;;FOC2023X06W;11;;
SWM020;94D46936E880;94:D4:69:36:E8:80;;FCW2025D0NT;11;;
SWM021;88908d715e80;88:90:8D:71:5E:80;;FCW1912C0MH;11;;
SWM022;00562B2B1F80;00:56:2B:2B:1F:80;;FCW2023F05H;11;;
SWM023;701f53022c80;70:1F:53:02:2C:80;;FCW2131C1B2;11;;
SWM024;74860BA9F600;74:86:0B:A9:F6:00;;FOC2131X11Q;11;;
SWM025;94D469513780;94:D4:69:51:37:80;;FOC2025U0RD;11;;
SWM026;00562B488C00;00:56:2B:48:8C:00;;FCW2023D09F;11;;
SWM027;94D46936E780;94:D4:69:36:E7:80;;FOC2025U0MW;11;;
SWM028;00562BF9F680;00:56:2B:F9:F6:80;;FOC2025X0F3;11;;
SWM029;74860BD4DD00;74:86:0B:D4:DD:00;;FOC2131L1G1;11;;
SWM030;580a20ebe180;58:0A:20:EB:E1:80;;FOC1805X0AB;11;;
SWM031;580A20F3A080;58:0A:20:F3:A0:80;;FOC1805X03P;11;;
SWM032;00CAE5343880;00:CA:E5:34:38:80;;FCW2009D00V;11;;
SWM033;2C3ECF128A00;2C:3E:CF:12:8A:00;;FOC1805U07W;11;;
SWM034;204C9E851000;20:4C:9E:85:10:00;;FOC1902U0JR;11;;
SWM035;D0C789747580;D0:C7:89:74:75:80;;FOC1728Y4SP;11;;
SWM036;88908D073F80;88:90:8D:07:3F:80;;FCW1911D0XT;11;;
SWM037;00562B487000;00:56:2B:48:70:00;;FOC2023U0CR;11;;
SWM038;00562B482200;00:56:2B:48:22:00;;FCW2023D02U;11;;
SWM039;88908D713000;88:90:8D:71:30:00;;FCW1912D0F8;11;;
SWM040;580a20eba900;58:0A:20:EB:A9:00;;FOC1805X02Q;11;;
SWM041;2C3ECF23A080;2C:3E:CF:23:A0:80;;FOC1805X02Y;11;;
SWM042;00562B2B4980;00:56:2B:2B:49:80;;FCW2023D06F;11;;
SWM043;00562B2B2180;00:56:2B:2B:21:80;;FOC2023U08S;11;;
SWM044;CC5A53642A80;CC:5A:53:64:2A:80;;FOC2124L1JS;11;;
SWM045;88908D1B6380;88:90:8D:1B:63:80;;FOC1912U0ML;11;;
SWM046;88908D6D0A80;88:90:8D:6D:0A:80;;FCW1912C0MZ;11;;
SWM047;00562B4F1E80;00:56:2B:4F:1E:80;;FCW2023C0B4;11;;
SWM048;88908D1B6300;88:90:8D:1B:63:00;;FCW1912C0NC;11;;
SWM049;B4E9B0413900;B4:E9:B0:41:39:00;;FOC1727Z526;11;;
SWM050;94D46936E400;94:D4:69:36:E4:00;;FCW2025C0MM;11;;
SWM051;580a20e34180;58:0A:20:E3:41:80;;FOC1805X042;11;;
SWM052;580A20F38E00;58:0A:20:F3:8E:00;;FOC1805X00Z;11;;
SWM053;a0f849693600;A0:F8:49:69:36:00;;FOC2121L2YD;11;;
SWM054;580A20EBCF80;58:0A:20:EB:CF:80;;FOC1805X0A8;11;;
SWM055;84802d1b0280;84:80:2D:1B:02:80;;FOC1838X17A;11;;
SWM056;74860BD46500;74:86:0B:D4:65:00;;FCW2131C1AK;11;;
SWM057;189C5D1CC000;18:9C:5D:1C:C0:00;;FOC1743X09N;11;;
SWM058;C444A0EB1580;C4:44:A0:EB:15:80;;FOC2124L1G1;11;;
